Net Name, Aggressor Net Name, Coef (%), Length (%), > 5%, 2%~5%, Total Coupling Index (millimeters-%)
F<1>, S<34>, 13.10, 1.62, 36.67, 42.03, 1443.05
F<2>, S<64>, 19.80, 42.13, 42.13, 26.01, 1381.55
F<3>, F<5>, 5.00, 2.28, 0.00, 86.03, 995.22
F<4>, F<6>, 2.50, 38.81, 0.00, 64.62, 243.89
F<5>, F<3>, 5.00, 1.48, 0.00, 76.38, 1135.71
F<6>, F<8>, 3.20, 3.31, 0.00, 52.24, 317.59
F<7>, F<9>, 16.50, 0.56, 9.40, 58.55, 1056.35
F<8>, F<10>, 4.50, 1.40, 0.00, 53.72, 251.74
F<9>, F<7>, 16.50, 0.56, 15.73, 1.14, 752.62
F<10>, F<12>, 12.30, 0.22, 0.59, 55.34, 180.61
F<11>, F<13>, 26.60, 0.27, 15.25, 26.26, 820.97
F<12>, F<10>, 12.10, 0.22, 2.93, 49.95, 132.37
F<13>, F<11>, 26.60, 0.27, 11.34, 54.80, 828.88
F<14>, F<18>, 11.30, 0.07, 3.91, 43.06, 126.68
F<15>, F<13>, 12.20, 0.15, 6.80, 52.37, 484.03
F<16>, F<18>, 21.80, 0.01, 0.04, 33.31, 85.18
F<17>, F<19>, 16.50, 0.13, 8.81, 42.62, 570.00
F<18>, F<20>, 16.90, 0.06, 1.53, 33.00, 140.21
F<19>, F<17>, 16.50, 0.13, 31.12, 20.66, 972.49
F<20>, F<18>, 17.00, 0.05, 0.67, 26.58, 169.92
F<21>, F<19>, 16.50, 0.75, 29.53, 34.74, 1009.28
F<22>, F<20>, 10.30, 0.11, 0.39, 11.46, 80.98
F<23>, F<21>, 16.40, 0.78, 3.08, 53.84, 710.22
F<24>, F<22>, 5.40, 0.02, 0.07, 10.29, 17.97
F<25>, F<23>, 16.40, 1.07, 7.12, 55.88, 689.36
F<26>, F<28>, 3.40, 2.46, 0.00, 10.70, 28.19
F<27>, F<25>, 16.40, 0.79, 6.41, 54.10, 621.71
F<28>, F<26>, 3.40, 3.38, 0.00, 7.16, 23.42
F<29>, F<27>, 16.00, 0.41, 2.90, 44.61, 298.40
F<30>, F<28>, 1.30, 0.46, 0.00, 4.36, 3.30
F<31>, S<23>, 4.40, 0.58, 0.00, 1.13, 7.82
F<32>, F<34>, 1.10, 0.52, 0.00, 0.52, 1.11
F<33>, F<41>, 12.10, 0.16, 0.16, 3.24, 23.78
F<34>, F<36>, 7.00, 0.13, 0.56, 1.89, 20.76
F<35>, F<43>, 12.10, 0.06, 0.06, 5.79, 19.76
F<36>, F<38>, 10.00, 0.01, 0.76, 2.57, 28.91
F<37>, F<45>, 12.10, 0.09, 0.10, 6.34, 25.76
F<38>, F<36>, 10.00, 0.01, 0.45, 1.72, 17.39
F<39>, F<47>, 12.10, 0.14, 0.24, 3.48, 16.07
F<40>, F<42>, 4.50, 0.05, 0.00, 5.48, 36.18
F<41>, F<33>, 12.10, 0.17, 0.17, 4.00, 37.78
F<42>, F<40>, 4.50, 0.05, 0.00, 13.88, 36.00
F<43>, F<35>, 12.10, 0.06, 0.06, 3.78, 20.71
F<44>, F<34>, 4.80, 0.02, 0.00, 7.58, 38.57
F<45>, F<37>, 12.10, 0.09, 0.10, 8.32, 26.92
F<46>, F<48>, 16.50, 1.02, 1.27, 8.38, 104.97
F<47>, F<39>, 12.10, 0.14, 0.23, 3.46, 23.39
F<48>, F<46>, 16.50, 1.04, 1.04, 12.16, 101.17
F<49>, F<51>, 12.10, 0.40, 0.40, 8.53, 38.21
F<50>, F<52>, 4.40, 0.58, 0.00, 4.11, 22.13
F<51>, F<59>, 16.30, 0.01, 1.32, 12.08, 63.63
F<52>, F<60>, 10.40, 0.03, 0.03, 18.70, 76.38
F<53>, F<59>, 12.30, 0.13, 0.22, 15.07, 51.84
F<54>, F<62>, 9.50, 0.06, 0.06, 24.69, 92.03
F<55>, F<53>, 4.60, 0.09, 0.00, 4.78, 27.25
F<56>, F<64>, 12.10, 0.06, 0.10, 23.93, 89.82
F<57>, F<59>, 14.60, 1.14, 1.14, 6.46, 76.64
F<58>, F<60>, 4.40, 3.38, 0.00, 5.06, 44.97
F<59>, F<51>, 16.30, 0.01, 2.20, 20.02, 165.14
F<60>, F<52>, 10.40, 0.03, 0.03, 6.33, 66.54
F<61>, S<53>, 4.40, 0.56, 0.00, 13.67, 112.57
F<62>, F<54>, 9.50, 0.06, 0.06, 18.12, 66.12
F<63>, S<55>, 4.40, 0.55, 0.00, 3.08, 29.11
F<64>, F<56>, 12.10, 0.06, 0.10, 19.45, 69.79
S<1>, S<9>, 13.60, 0.06, 0.06, 11.41, 36.27
S<2>, S<10>, 4.40, 0.51, 0.00, 0.82, 6.11
S<3>, S<11>, 13.60, 0.06, 0.26, 10.24, 48.67
S<4>, S<14>, 5.00, 1.24, 0.00, 11.54, 44.55
S<5>, S<3>, 11.80, 0.05, 0.21, 3.28, 30.08
S<6>, S<4>, 4.70, 0.02, 0.00, 3.65, 26.14
S<7>, S<5>, 4.40, 0.72, 0.00, 1.64, 16.47
S<8>, S<16>, 4.80, 0.04, 0.00, 3.29, 30.67
S<9>, S<1>, 10.60, 0.06, 0.06, 8.21, 25.46
S<10>, S<12>, 13.00, 2.60, 11.73, 5.31, 362.61
S<11>, S<3>, 10.60, 0.06, 0.06, 12.25, 40.14
S<12>, S<10>, 13.00, 2.74, 14.79, 4.99, 538.47
S<13>, S<11>, 4.40, 0.59, 0.00, 4.59, 26.11
S<14>, S<12>, 9.50, 1.00, 7.24, 23.51, 545.41
S<15>, S<13>, 4.40, 0.64, 0.00, 1.99, 16.93
S<16>, S<14>, 9.50, 5.00, 11.47, 13.25, 396.03
S<17>, S<19>, 5.10, 0.01, 0.01, 2.63, 23.65
S<18>, S<26>, 12.10, 0.17, 4.73, 6.29, 132.20
S<19>, S<21>, 11.10, 0.13, 0.14, 5.88, 35.11
S<20>, S<22>, 16.50, 0.44, 8.29, 3.76, 203.62
S<21>, S<19>, 11.10, 0.14, 0.14, 4.87, 30.02
S<22>, S<20>, 16.50, 0.46, 0.60, 3.94, 40.11
S<23>, S<21>, 4.50, 0.13, 0.00, 4.29, 39.13
S<24>, S<32>, 12.10, 0.16, 0.16, 3.03, 21.29
S<25>, S<17>, 4.40, 0.50, 0.00, 1.32, 13.99
S<26>, S<18>, 12.10, 0.17, 0.17, 2.21, 20.87
S<27>, S<29>, 13.00, 0.08, 0.10, 2.16, 20.19
S<28>, S<30>, 16.40, 0.07, 1.24, 3.68, 39.04
S<29>, S<27>, 13.00, 0.08, 0.10, 1.81, 18.96
S<30>, S<28>, 16.10, 0.07, 0.22, 4.59, 23.90
S<31>, S<29>, 4.50, 0.11, 0.00, 4.24, 31.69
S<32>, S<24>, 12.10, 0.17, 0.17, 2.56, 13.56
S<33>, S<41>, 4.40, 0.45, 0.00, 21.88, 45.46
S<34>, F<1>, 13.00, 14.09, 38.54, 6.17, 1516.42
S<35>, S<37>, 4.20, 5.51, 0.00, 60.77, 107.52
S<36>, S<34>, 7.20, 37.02, 38.72, 17.15, 858.14
S<37>, S<35>, 4.20, 5.51, 0.00, 53.97, 197.90
S<38>, S<40>, 16.50, 0.25, 0.25, 55.10, 686.70
S<39>, S<37>, 3.50, 2.34, 0.00, 74.42, 248.79
S<40>, S<38>, 16.30, 0.25, 40.05, 15.59, 1078.64
S<41>, S<43>, 8.60, 8.46, 9.50, 78.21, 429.69
S<42>, S<44>, 16.50, 1.54, 58.22, 15.46, 1808.99
S<43>, S<41>, 8.60, 8.46, 9.50, 75.71, 372.70
S<44>, S<42>, 16.50, 1.53, 59.04, 10.72, 2588.67
S<45>, S<43>, 5.70, 0.62, 0.62, 67.85, 158.31
S<46>, S<48>, 16.50, 0.22, 57.80, 13.47, 3598.95
S<47>, S<49>, 4.00, 1.25, 0.00, 57.75, 155.32
S<48>, S<46>, 16.50, 0.22, 56.21, 19.04, 4126.61
S<49>, F<57>, 4.40, 0.59, 0.00, 36.21, 150.33
S<50>, S<48>, 15.80, 0.63, 62.38, 23.24, 4314.82
S<51>, S<53>, 4.60, 6.24, 0.00, 43.28, 258.27
S<52>, S<50>, 15.00, 2.42, 63.05, 22.59, 4485.21
S<53>, S<55>, 7.70, 0.02, 0.02, 47.95, 376.39
S<54>, S<56>, 14.90, 0.97, 59.81, 21.96, 4318.41
S<55>, S<53>, 7.70, 0.02, 0.02, 46.97, 305.03
S<56>, S<58>, 14.90, 1.24, 54.78, 24.08, 4125.27
S<57>, S<55>, 3.40, 6.31, 0.00, 42.54, 198.24
S<58>, S<60>, 14.90, 1.20, 67.48, 27.49, 4466.30
S<59>, S<61>, 11.60, 0.41, 0.49, 50.58, 210.68
S<60>, S<62>, 15.00, 1.10, 68.75, 27.16, 4478.11
S<61>, S<63>, 11.60, 1.86, 3.94, 47.71, 234.52
S<62>, S<60>, 15.00, 1.12, 67.10, 25.69, 3141.81
S<63>, S<61>, 11.60, 1.63, 3.74, 22.08, 126.55
S<64>, F<2>, 24.40, 38.02, 44.76, 22.48, 2018.44
