Vth_T ,6bit_Vth,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79,#80,#81,#82,#83,#84,#85,#86,#87,#88,#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100
300,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
301,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
302,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
310,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
312,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
313,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
315,31,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
316,31,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
317,31,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
318,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0
319,31,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,2,0,0
320,31,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,2,1,0,1,0,0,0
321,31,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
322,31,0,0,1,1,1,0,0,0,0,0,2,2,0,1,1,1,1,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
323,31,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,1
324,31,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,3,1,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,3,0,2,1,2,1,0,0,0
325,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,2,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0
326,31,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,2,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,1,1,0,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0
327,31,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,2,1,0,0,1,1,1,2,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,1,2,1,1,1,0,0,0,1,2,1,2,1,0,1,2,0,1,1,1,0,0,0,1,2,3,0,2,1,0,0
328,31,0,0,1,0,0,1,0,2,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,2,0,0,0,2,0,0,0,2,2,1,0,3,1,0,0,0,2,0,1,3,0,0,0,0,0,0,1,1,0,0,0,1,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,1
329,31,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,2,0,3,0,2,0,1,0,2,1,0,0,0,0,1,0,1,1,0,0,1,1,2,2,0,2,2,0,0,1,0,0,0,2,1,1,0,2,2,0,0,0,2,0,0,0,2,2,0,0,1,2,2,3
330,31,0,1,0,1,1,0,1,0,0,2,0,0,0,2,1,0,2,0,0,0,1,1,0,0,2,0,0,3,2,0,1,0,0,0,2,2,0,2,1,1,2,1,1,1,2,0,0,0,3,1,0,0,0,0,0,0,2,4,2,0,3,0,1,0,0,3,0,1,1,1,1,0,0,4,0,0,2,4,4,1,0,0,0,1,2,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0
331,31,0,2,0,2,0,0,0,0,0,1,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,3,1,1,0,0,0,0,0,1,0,0,3,0,0,3,1,1,2,0,0,4,2,0,0,2,2,0,0,0,0,1,0,1,1,0,0,2,6,0,0,1,2,0,0,0,0,1,0,1,0,1,1,0,0,0,1
332,31,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,2,0,1,0,0,2,0,1,1,2,1,1,0,0,1,1,1,0,0,2,0,0,3,2,0,0,0,0,0,1,1,0,1,0,0,0,3,0,1,2,1,0,3,1,2,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,2,2,2,0,1,0,1,1,1,0,3,2,2,0,0,0
333,31,2,0,0,2,1,2,2,1,1,0,1,1,1,0,1,2,0,2,2,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2,1,5,0,5,1,5,1,0,2,0,2,0,0,0,1,0,3,2,2,1,2,1,3,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,3,2,1,0,0,1,0,2,0,2,1,0,2,0,1,1,0,0,0,1,1,0,0,0,0,1
334,31,0,1,2,2,0,2,4,6,2,1,2,0,2,0,4,0,0,0,5,2,0,0,1,0,1,0,0,0,2,2,0,0,3,2,0,0,0,0,3,1,0,0,0,0,1,2,1,1,0,1,2,2,1,2,0,2,0,1,0,0,0,1,2,5,3,0,4,0,0,0,2,0,0,0,4,1,6,0,0,0,0,2,1,1,1,0,0,1,1,2,0,0,0,3,1,1,0,1,3,4
335,31,1,1,0,1,6,1,1,2,4,1,1,0,0,0,2,1,4,1,3,0,0,0,2,1,0,0,1,0,2,1,2,1,1,0,0,0,2,9,0,0,2,1,0,0,0,0,0,0,0,1,0,1,4,1,0,4,2,1,0,0,1,1,1,1,0,2,0,0,1,0,1,3,0,1,2,0,0,0,0,0,2,4,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0
336,31,5,0,1,1,1,0,0,1,0,3,0,1,9,0,2,7,0,0,0,2,0,0,0,0,4,2,1,2,0,6,0,0,0,1,4,1,2,1,0,6,0,5,0,3,1,3,2,0,0,1,2,3,3,3,0,0,0,1,1,0,2,1,3,0,1,1,1,2,1,0,0,1,3,1,11,3,1,1,1,0,0,1,0,0,1,1,2,2,1,0,1,0,2,0,2,0,0,2,4,3
337,31,2,0,0,0,6,0,2,0,1,1,0,4,2,3,0,2,1,1,0,2,0,1,0,3,2,0,0,0,0,0,1,0,3,1,2,0,1,3,0,0,7,0,0,1,2,3,2,0,0,0,0,1,1,5,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,1,1,2,0,5,2,0,0,2,2,1,1,2,2,2,1,2,1,2,1,2,0,5,10,1,2
338,31,2,5,2,0,0,0,3,2,1,1,0,1,1,2,1,0,4,1,4,0,3,2,0,11,1,2,0,2,2,2,5,2,3,1,2,2,3,2,1,4,1,3,0,0,1,0,3,2,1,0,2,3,1,0,2,0,3,0,0,3,0,0,1,1,8,0,0,2,1,1,1,2,2,2,1,0,0,1,0,0,3,1,8,4,1,2,3,1,2,2,2,8,0,4,2,1,1,0,1,4
339,31,0,1,3,0,1,0,0,0,1,0,7,1,0,3,1,0,0,1,0,1,2,6,0,2,0,1,0,1,3,0,2,4,5,2,4,2,1,5,2,0,7,1,2,2,1,0,2,0,0,1,3,2,5,1,3,5,0,2,2,5,2,2,4,0,5,1,4,0,9,4,1,5,5,0,0,6,1,0,8,4,4,3,1,1,0,0,1,6,0,7,2,3,0,4,7,5,5,5,1,2
340,31,8,2,1,1,8,4,0,1,2,0,3,0,0,0,2,2,1,0,0,0,0,0,1,4,1,8,0,1,1,0,5,0,1,1,1,5,0,1,2,2,1,0,1,8,2,1,2,0,8,0,1,1,0,4,3,0,4,2,3,10,0,11,7,0,2,9,3,1,1,9,8,2,1,2,1,2,3,1,3,3,1,8,3,0,0,6,8,3,3,0,3,0,0,3,2,2,1,3,0,3
341,31,2,0,3,20,7,1,1,0,2,4,0,10,12,3,2,0,1,1,2,2,0,1,2,1,22,0,4,0,0,3,0,1,4,0,3,6,1,0,0,6,7,2,7,0,2,2,9,1,3,1,2,3,3,0,1,1,1,10,0,2,0,4,2,0,0,4,2,0,1,0,1,3,3,0,2,6,9,0,3,11,6,3,1,6,7,8,0,6,2,1,2,1,2,0,0,2,1,0,2,3
342,31,0,0,1,0,2,0,4,9,0,3,1,3,0,5,2,3,1,0,0,1,2,0,1,0,2,10,10,0,0,7,1,2,3,7,1,4,5,3,0,1,4,8,0,0,0,9,11,0,0,1,1,4,4,2,12,0,1,19,2,0,1,6,0,2,2,4,3,1,3,3,10,1,0,0,2,3,9,1,5,3,6,3,0,3,9,0,4,14,2,3,3,2,1,6,2,1,10,2,10,1
343,31,2,1,8,5,3,18,10,3,3,5,10,0,18,1,1,3,13,12,1,3,0,1,11,1,0,6,2,0,0,0,6,3,13,2,2,10,2,15,3,4,0,3,10,1,0,1,8,0,0,0,3,8,7,16,0,9,13,3,3,0,6,1,0,1,7,5,2,11,2,0,1,1,8,2,0,12,2,0,0,3,1,1,1,3,0,0,1,0,3,2,0,0,1,0,8,9,10,2,2,4
344,31,0,5,0,0,0,7,21,17,3,0,9,0,1,0,3,2,12,1,21,2,4,6,11,0,0,5,1,14,10,5,13,1,8,13,3,1,1,0,4,2,7,0,8,3,0,3,5,2,1,8,5,3,3,0,6,9,0,3,9,2,2,2,0,5,0,1,1,2,3,1,9,7,9,38,9,2,7,5,0,3,0,11,0,1,2,0,5,1,6,1,3,0,4,0,1,2,2,0,2,6
345,31,7,2,0,11,11,1,1,0,2,48,0,0,2,1,1,1,2,8,2,2,10,12,2,4,1,2,8,1,8,2,21,0,4,1,0,0,2,0,2,2,3,4,2,1,1,0,1,2,0,0,12,10,15,5,0,3,3,0,5,11,4,7,10,3,3,2,10,2,3,0,1,9,3,1,10,23,11,12,0,2,18,13,0,0,6,3,0,1,1,24,2,1,7,0,0,5,1,0,0,0
346,31,8,9,2,6,0,13,13,7,2,1,8,1,0,2,4,5,0,3,4,15,2,16,10,14,2,10,3,11,12,1,17,8,0,1,3,25,11,1,8,0,5,13,3,7,0,10,1,3,4,11,0,0,5,0,14,12,1,1,43,33,0,6,1,2,4,5,11,0,11,45,13,22,1,0,0,0,8,4,3,12,9,1,1,4,8,0,2,24,0,16,2,16,8,27,4,11,37,2,8,41
347,31,16,10,0,0,0,24,13,1,14,2,5,3,4,21,38,10,25,2,0,2,13,2,2,9,17,0,15,24,4,1,3,1,0,22,7,1,17,6,2,6,0,10,2,10,18,2,0,47,43,12,1,10,18,29,36,12,1,0,2,0,12,1,0,2,12,3,1,19,17,1,1,2,18,5,14,0,8,18,16,1,10,1,27,0,5,12,14,23,0,4,3,15,14,21,1,2,2,16,0,47
348,31,10,4,14,7,10,9,35,9,2,23,17,0,40,53,1,10,1,18,2,3,12,25,0,23,3,2,3,2,24,1,7,3,0,8,2,27,10,0,11,49,3,16,3,3,1,0,10,2,3,39,11,1,11,2,1,8,21,9,41,0,31,5,9,23,2,44,23,1,0,23,6,25,27,2,7,14,31,0,1,30,9,5,12,5,18,0,32,12,1,41,0,8,0,3,0,1,12,10,40,34
349,31,0,3,43,15,19,0,19,0,5,34,53,1,8,0,48,2,51,4,44,17,13,0,29,12,16,5,0,29,46,12,18,0,5,23,1,2,12,8,2,3,45,10,6,15,1,2,20,1,13,3,32,17,0,18,22,0,3,8,1,31,15,31,44,34,48,43,16,10,2,21,0,29,42,1,50,27,5,1,0,1,3,15,0,4,19,9,18,1,0,11,8,14,0,13,0,8,49,0,1,7
350,31,9,8,8,45,0,29,23,0,7,50,0,0,17,0,5,0,48,0,23,42,22,9,6,1,5,41,19,30,0,32,8,2,12,1,7,10,11,33,0,45,10,12,2,2,14,46,8,13,16,12,49,3,42,30,9,0,0,0,25,14,9,44,14,0,20,36,50,0,26,19,15,42,0,23,31,2,47,8,1,0,52,9,2,0,14,2,12,18,3,9,7,50,46,7,17,43,8,10,2,7
351,31,8,33,24,18,8,40,1,2,0,43,51,48,38,27,35,47,0,22,6,0,29,45,37,0,33,49,52,10,28,0,2,23,49,24,20,2,50,0,2,50,2,40,12,8,20,40,50,0,32,2,20,48,8,11,18,12,25,53,24,21,45,0,36,2,9,10,17,0,50,11,10,0,1,1,1,29,40,2,43,43,0,4,1,2,4,22,45,2,28,43,39,7,25,45,13,10,1,4,41,1
352,31,7,20,47,49,9,41,42,10,39,32,46,48,8,17,30,50,7,18,11,15,32,6,0,19,43,14,0,47,25,8,47,40,29,12,43,0,34,5,30,46,3,6,35,12,9,17,38,0,1,1,44,9,53,19,48,23,0,0,3,49,26,27,7,9,28,44,5,45,31,11,53,48,39,43,48,22,14,12,8,27,2,11,27,9,11,8,9,4,0,47,45,45,0,47,15,44,18,15,5,24
353,31,50,0,0,34,13,44,53,50,56,12,49,3,42,0,0,50,48,40,8,45,43,44,1,12,1,35,17,43,10,45,21,35,0,1,13,50,15,46,0,18,11,0,35,39,10,6,16,49,11,42,12,44,53,0,23,11,0,13,40,41,0,38,51,37,8,0,44,8,0,26,22,1,47,8,38,47,54,0,12,7,13,45,3,9,41,4,50,2,4,30,7,23,46,23,6,17,15,47,41,4
354,31,0,3,2,2,29,49,47,16,41,31,14,13,42,55,19,46,32,44,15,51,36,2,44,13,2,19,23,53,36,52,43,1,46,41,48,37,42,47,43,47,45,27,1,4,3,43,47,5,43,47,47,51,44,42,48,42,6,10,43,26,12,27,8,13,27,0,14,52,7,17,38,43,2,45,7,11,1,31,33,36,58,13,0,48,0,16,15,20,46,32,51,33,48,51,0,42,54,4,34,2
355,31,61,15,54,0,17,14,42,32,16,32,7,31,58,27,40,51,35,52,57,19,33,43,43,32,42,30,15,3,50,17,49,43,15,43,19,19,37,14,42,17,36,5,49,2,41,39,33,0,51,48,14,3,10,2,11,16,35,0,8,28,53,5,25,21,3,38,7,1,23,62,0,33,0,8,13,29,8,34,49,41,33,51,35,0,28,43,1,40,43,15,35,49,41,9,46,4,15,38,6,7
356,31,45,52,20,19,34,46,32,44,26,53,47,45,6,30,36,29,0,47,2,43,42,18,9,36,7,41,6,12,45,43,13,17,51,30,41,1,24,7,1,49,1,7,43,45,53,49,6,0,50,23,26,45,33,19,24,47,49,44,27,54,59,51,48,40,15,30,51,2,19,4,17,3,0,31,59,45,42,3,30,45,2,25,17,42,33,19,30,46,46,26,45,52,42,32,9,22,43,40,45,52
357,31,45,46,39,52,44,14,38,19,21,8,21,48,20,44,17,0,8,34,35,44,37,35,59,60,33,20,36,26,61,25,42,52,45,46,37,4,40,56,0,43,23,32,38,44,45,0,24,17,48,43,8,34,53,45,6,26,4,8,39,53,26,17,47,57,44,55,63,5,25,13,31,36,35,48,39,34,44,47,7,4,46,30,35,8,47,1,41,21,38,47,58,2,44,34,30,16,26,39,8,47
358,31,6,45,4,47,18,36,42,1,46,33,34,39,31,44,49,34,52,38,44,43,63,26,39,48,21,30,11,42,57,6,50,54,17,9,39,48,8,23,2,30,51,7,51,0,5,13,5,34,59,23,31,45,36,49,57,51,4,36,20,39,38,46,0,36,22,47,44,31,41,1,17,63,37,50,31,44,1,24,38,55,42,42,34,45,43,6,56,41,49,52,48,44,33,24,47,6,40,8,7,44
359,31,53,38,26,51,27,44,49,44,41,41,10,39,50,25,57,39,59,45,31,43,5,58,16,46,1,30,63,42,58,43,46,46,55,13,54,57,54,23,11,16,4,37,17,48,44,14,26,44,35,49,17,6,31,19,44,34,8,0,29,51,50,52,3,46,48,10,4,30,0,13,48,34,35,46,40,23,49,10,41,58,22,28,1,55,1,38,37,46,47,15,39,26,44,3,19,43,33,6,41,36
360,31,11,40,49,52,40,43,44,37,1,38,8,26,34,62,30,45,28,13,38,40,0,20,21,46,1,57,17,38,52,39,49,46,53,38,31,4,55,46,28,62,25,24,52,10,60,47,1,42,51,33,37,29,60,60,32,9,0,60,54,46,37,40,46,45,61,29,0,45,47,2,46,47,43,47,44,45,18,74,67,52,53,52,53,5,14,50,49,58,50,47,47,47,25,55,49,15,27,12,40,42
361,31,29,4,39,35,38,37,0,38,13,48,31,50,52,17,32,37,58,46,39,0,27,45,45,13,43,6,6,36,33,43,41,20,4,0,25,54,55,34,44,43,48,43,33,35,11,41,43,59,30,20,41,46,47,51,53,54,31,28,50,46,27,58,48,49,8,6,50,24,10,43,42,25,43,58,34,26,58,42,4,33,47,42,39,62,3,55,42,15,35,51,50,43,59,39,22,59,56,0,57,8
